Zeit	Kanal A	Kanal B
(s)	(V)	(V)
-17.88360237	0.16205330	0.92471090
-17.88226837	0.16281620	0.92471090
-17.88093437	0.16342660	0.92471090
-17.87960037	0.16418960	0.93081450
-17.87826637	0.16495250	0.93081450
-17.87693237	0.16418960	0.93081450
-17.87559837	0.16342660	0.93081450
-17.87426437	0.16342660	0.93081450
-17.87293037	0.16342660	0.93081450
-17.87159637	0.16418960	0.93081450
-17.87026237	0.16556290	0.93844410
-17.86892837	0.16632590	0.93844410
-17.86759437	0.16632590	0.94607380
-17.86626037	0.16556290	0.94607380
-17.86492637	0.16418960	0.95217750
-17.86359237	0.16418960	0.95217750
-17.86225837	0.16418960	0.95980710
-17.86092437	0.16418960	0.95980710
-17.85959037	0.16495250	0.96591090
-17.85825637	0.16556290	0.96591090
-17.85692237	0.16632590	0.97354050
-17.85558837	0.16632590	0.98117010
-17.85425437	0.16632590	0.98727380
-17.85292037	0.16632590	0.98727380
-17.85158637	0.16708880	0.99490340
-17.85025237	0.16846220	1.00100700
-17.84891837	0.16922510	1.00863700
-17.84758437	0.16922510	1.01626600
-17.84625037	0.16922510	1.01626600
-17.84491637	0.16846220	1.02237000
-17.84358237	0.16769920	1.03000000
-17.84224837	0.16769920	1.03610300
-17.84091437	0.16846220	1.04373300
-17.83958037	0.16922510	1.04373300
-17.83824637	0.16922510	1.05136300
-17.83691237	0.16846220	1.05746600
-17.83557837	0.16846220	1.06509600
-17.83424437	0.16769920	1.07120000
-17.83291037	0.16846220	1.07882900
-17.83157637	0.16846220	1.08645900
-17.83024237	0.16922510	1.09256300
-17.82890837	0.16983550	1.10019200
-17.82757437	0.16983550	1.10629600
-17.82624037	0.16922510	1.11392600
-17.82490637	0.16846220	1.11392600
-17.82357237	0.16846220	1.12155500
-17.82223837	0.16846220	1.12765900
-17.82090437	0.16922510	1.13528900
-17.81957037	0.16983550	1.13528900
-17.81823637	0.16983550	1.14139200
-17.81690237	0.17059850	1.14902200
-17.81556837	0.16983550	1.15512600
-17.81423437	0.16846220	1.15512600
-17.81290037	0.16846220	1.15512600
-17.81156637	0.16922510	1.15512600
-17.81023237	0.17059850	1.16275500
-17.80889837	0.17197180	1.17038500
-17.80756437	0.17197180	1.17648900
-17.80623037	0.17197180	1.18411800
-17.80489637	0.17136140	1.19022200
-17.80356237	0.17136140	1.19785200
-17.80222837	0.17136140	1.20548100
-17.80089437	0.17136140	1.21158500
-17.79956037	0.17136140	1.21158500
-17.79822637	0.17197180	1.21921400
-17.79689237	0.17197180	1.22531800
-17.79555837	0.17136140	1.23294800
-17.79422437	0.17136140	1.23294800
-17.79289037	0.17136140	1.24057700
-17.79155637	0.17197180	1.24668100
-17.79022237	0.17273480	1.25431100
